Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
BPN20110,,Paser,Tanjung Harapan,BPN,116000,10~,-,-,-,9
BPN20111,,Paser,Muara Samu,BPN,116000,10~,-,-,-,9
BPN20200,,Berau,Tanjung Redeb,BPN,61000,3 - 5,52000,5 - 7,-,9
BPN20201,,Berau,Biduk Biduk,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20202,,Berau,Gunung Tabur,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20203,,Berau,Kelay,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20204,,Berau,Pulau Derawan,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20205,,Berau,Sambaliung,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20206,,Berau,Segah,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20207,,Berau,Talisayan,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20210,,Berau,Maratua,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20211,,Berau,Teluk Bayur,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20212,,Berau,Tubaan,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20300,,Panajam Paser Utara,Penajam,BPN,61000,3 - 5,52000,5 - 7,-,9
BPN20301,,Panajam Paser Utara,Waru,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20302,,Panajam Paser Utara,Babulu,BPN,77000,5 - 7,65000,6 - 8,-,9
BPN20303,,Panajam Paser Utara,Sepaku,BPN,116000,10~,-,-,-,9
BTG10000,,Bontang,Bontang,BTG,49000,2 - 3,42000,3 - 5,-,9
BTG10002,,Bontang,Bontang Barat,BTG,49000,2 - 3,42000,3 - 5,-,9
BTG10003,,Bontang,Bontang Selatan,BTG,49000,2 - 3,42000,3 - 5,-,9
BTG10004,,Bontang,Bontang Utara,BTG,49000,2 - 3,42000,3 - 5,-,9
BTG20100,,Kutai Timur,Sangatta,BTG,52000,3 - 5,45000,5 - 7,-,9
BTG20101,,Kutai Timur,Teluk Pandan,BTG,52000,3 - 5,45000,5 - 7,-,9
BTG20102,,Kutai Timur,Batu Ampar,BTG,98000,10~,-,-,-,9
BTG20103,,Kutai Timur,Bengalon,BTG,65000,5 - 7,57000,6 - 8,-,9
BTG20104,,Kutai Timur,Busang,BTG,98000,10~,-,-,-,9
BTG20105,,Kutai Timur,Kaliorang,BTG,65000,5 - 7,57000,6 - 8,-,9
BTG20106,,Kutai Timur,Karangan,BTG,98000,10~,-,-,-,9
BTG20107,,Kutai Timur,Kaubun,BTG,98000,10~,-,-,-,9
BTG20108,,Kutai Timur,Kongbeng,BTG,98000,10~,-,-,-,9
BTG20109,,Kutai Timur,Long Masengat,BTG,98000,10~,-,-,-,9
BTG20110,,Kutai Timur,Muara Ancalong,BTG,98000,10~,-,-,-,9
BTG20111,,Kutai Timur,Muara Bengkal,BTG,98000,10~,-,-,-,9
BTG20112,,Kutai Timur,Muara Wahau,BTG,65000,5 - 7,57000,6 - 8,-,9
BTG20113,,Kutai Timur,Rantau Pulung,BTG,65000,5 - 7,57000,6 - 8,-,9
BTG20114,,Kutai Timur,Sandaran,BTG,98000,10~,-,-,-,9
BTG20115,,Kutai Timur,Sangatta Selatan,BTG,52000,3 - 5,45000,5 - 7,-,9
BTG20116,,Kutai Timur,Sangkulirang,BTG,65000,5 - 7,57000,6 - 8,-,9
BTG20117,,Kutai Timur,Telen,BTG,98000,10~,-,-,-,9
BTG20120,,Kutai Timur,Sangkima,BTG,52000,3 - 5,45000,5 - 7,-,9
BTG20121,,Kutai Timur,Swarga Bara,BTG,52000,3 - 5,45000,5 - 7,-,9
BTG20122,,Kutai Timur,Singa Gembara,BTG,52000,3 - 5,45000,5 - 7,-,9
BTH10000,,Batam,Batam,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10052,,Batam,Nongsa/ Kabil/ Lagoi,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10054,,Batam,Sekupang/ Tanjung Ucang,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10080,,Batam,Batu Ampar,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10081,,Batam,Belakang Padang,BTH,25000,1 - 2,22000,2 - 3,-,9
BTH10082,,Batam,Bulang Galang,BTH,25000,1 - 2,22000,2 - 3,-,9
BTH10083,,Batam,Galang,BTH,25000,1 - 2,22000,2 - 3,-,9
BTH10084,,Batam,Lubuk Baja,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10085,,Batam,Sei Beduk,BTH,25000,1 - 2,22000,2 - 3,32000,9
BTH10200,,Lingga,Daik,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10201,,Lingga,Lingga,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10202,,Lingga,Lingga Utara,BTH,95000,10~,-,-,-,9
BTH10203,,Lingga,Senayang,BTH,95000,10~,-,-,-,9
BTH10204,,Lingga,Singkep,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10205,,Lingga,Singkep Barat,BTH,95000,10~,-,-,-,9
BTH10300,,Natuna,Ranai,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10301,,Natuna,Bunguran Barat,BTH,95000,10~,-,-,-,9
BTH10302,,Natuna,Bunguran Timur,BTH,95000,10~,-,-,-,9
BTH10303,,Natuna,Bunguran Timur Laut,BTH,95000,10~,-,-,-,9
BTH10304,,Natuna,Bunguran Tengah,BTH,95000,10~,-,-,-,9
BTH10305,,Natuna,Bunguran Utara,BTH,95000,10~,-,-,-,9
BTH10306,,Natuna,Jemaja,BTH,95000,10~,-,-,-,9
BTH10307,,Natuna,Jemaja Timur,BTH,95000,10~,-,-,-,9
BTH10308,,Natuna,Midai,BTH,95000,10~,-,-,-,9
BTH10309,,Natuna,Pal Matak,BTH,95000,10~,-,-,-,9
BTH10310,,Natuna,Serasan,BTH,95000,10~,-,-,-,9
BTH10311,,Natuna,Siantan,BTH,95000,10~,-,-,-,9
BTH10312,,Natuna,Siantan Selatan,BTH,95000,10~,-,-,-,9
BTH10313,,Natuna,Siantan Timur,BTH,95000,10~,-,-,-,9
BTH10314,,Natuna,Subi,BTH,95000,10~,-,-,-,9
BTH10315,,Natuna,Pulau Laut,BTH,95000,10~,-,-,-,9
BTH10316,,Natuna,Pulau Tiga,BTH,95000,10~,-,-,-,9
BTH10400,,Karimun,Tanjung Balai Karimun,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10401,,Karimun,Buru,BTH,95000,10~,-,-,-,9
BTH10402,,Karimun,Karimun,BTH,63000,3 - 6,54000,4 - 7,-,9
BTH10403,,Karimun,Kundur,BTH,50000,2 - 3,43000,3 - 6,-,9
BTH10404,,Karimun,Kundur Barat,BTH,63000,3 - 6,54000,4 - 7,-,9
BTH10405,,Karimun,Kundur Utara,BTH,63000,3 - 6,54000,4 - 7,-,9
BTH10406,,Karimun,Meral,BTH,63000,3 - 6,54000,4 - 7,-,9
BTH10407,,Karimun,Moro,BTH,95000,10~,-,-,-,9
BTH10408,,Karimun,Tebing,BTH,63000,3 - 6,54000,4 - 7,-,10
BTH10409,,Karimun,Tanjung Batu,BTH,63000,3 - 6,54000,4 - 7,-,10
BTJ10000,,Banda Aceh,Banda Aceh,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10015,,Banda Aceh,Meuraksa,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10016,,Banda Aceh,Jaya Baru,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10017,,Banda Aceh,Banda Raya,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10018,,Banda Aceh,Baiturrahman,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10019,,Banda Aceh,Lueng Bata,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10020,,Banda Aceh,Kuta Alam,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10021,,Banda Aceh,Kuta Raja,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10022,,Banda Aceh,Syiah Kuala,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10023,,Banda Aceh,Ulee Kareng,BTJ,33000,1 - 2,29000,2 - 3,-,10
BTJ10100,,Langsa,Langsa,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10118,,Langsa,Langsa Barat,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10119,,Langsa,Langsa Kota,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10120,,Langsa,Langsa Lama,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10121,,Langsa,Langsa Teungoh,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10122,,Langsa,Langsa Timur,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10200,,Lhokseumawe,Lhokseumawe,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10209,,Lhokseumawe,Muara Dua,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10226,,Lhokseumawe,Banda Sakti,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10227,,Lhokseumawe,Blang Mangat,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10300,,Aceh Besar,Janto,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ10301,,Aceh Besar,Darul Imarah,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10302,,Aceh Besar,Darussalam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10303,,Aceh Besar,Indrapuri,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10304,,Aceh Besar,Ingin Jaya,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10305,,Aceh Besar,Kuta Baro,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10306,,Aceh Besar,Lho'Nga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10307,,Aceh Besar,Lhoong,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10308,,Aceh Besar,Mesjid Raya,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10309,,Aceh Besar,Montasik,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10310,,Aceh Besar,Peukan Bada,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10311,,Aceh Besar,Suka Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10312,,Aceh Besar,Simpang tiga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10313,,Aceh Besar,Baitussalam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10314,,Aceh Besar,Darul Kamal,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10315,,Aceh Besar,Krueng Barona Jaya,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10316,,Aceh Besar,Kuta Cot Glie,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10317,,Aceh Besar,Kuta Malaka,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10318,,Aceh Besar,Lembah Seulawah,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10319,,Aceh Besar,Leupung,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10320,,Aceh Besar,Puroaceh,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ10321,,Aceh Besar,Seulimeum,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20100,,Bireuen,Bireuen,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ20101,,Bireuen,Jeunieb,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20102,,Bireuen,Peusangan,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20103,,Bireuen,Peudada,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20104,,Bireuen,Samalanga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20105,,Bireuen,Ganda Pura,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20106,,Bireuen,Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20107,,Bireuen,Kuala,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20108,,Bireuen,Jangka,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20109,,Bireuen,Jeumpa,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20110,,Bireuen,Juli,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20111,,Bireuen,Juang,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20112,,Bireuen,Kuta Blang,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20113,,Bireuen,Pandrah,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20114,,Bireuen,Peusangan Selatan,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20115,,Bireuen,Peusangan Siblah Krueng,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20116,,Bireuen,Primbang,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20117,,Bireuen,Simpang Mamplam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20200,,Aceh Tenggara,Kutacane,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ20201,,Aceh Tenggara,Badar,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20202,,Aceh Tenggara,Bambel,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20205,,Aceh Tenggara,Lawe Alas,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20206,,Aceh Tenggara,Lawe Sigala-gala,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20209,,Aceh Tenggara,Babul Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20210,,Aceh Tenggara,Babul Rahmat,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20211,,Aceh Tenggara,Babussalam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20212,,Aceh Tenggara,Bukit Tusam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20213,,Aceh Tenggara,Darul Hasanah,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20214,,Aceh Tenggara,Lawe Bulan,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20215,,Aceh Tenggara,Semadam,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20300,,Aceh Barat,Meulaboh,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ20304,,Aceh Barat,Kec. Kaway XVI,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20308,,Aceh Barat,Samatiga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20315,,Aceh Barat,Sungai Mas,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20318,,Aceh Barat,Woyla,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20319,,Aceh Barat,Bubon,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20320,,Aceh Barat,Arongan Lambalek,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20321,,Aceh Barat,Johan Pahlawan,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20322,,Aceh Barat,Woyla Barat,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20323,,Aceh Barat,Woyla Timur,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20324,,Aceh Barat,Pante Ceureumen,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20400,,Pidie,Sigli,BTJ,48000,2 - 3,41000,3 - 6,-,10
BTJ20403,,Pidie,Batee,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20404,,Pidie,Delima,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20405,,Pidie,Geumpang,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20406,,Pidie,Glumpang Tiga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20407,,Pidie,Indrajaya,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20408,,Pidie,Kembang Tanjung,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20410,,Pidie,Mila,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20411,,Pidie,Muara Tiga,BTJ,60000,3 - 6,52000,4 - 7,-,10
BTJ20412,,Pidie,Mutiara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20413,,Pidie,Padang Tiji,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20414,,Pidie,Peukan Baro,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20415,,Pidie,Pidie,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20416,,Pidie,Sakti,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20417,,Pidie,Simpang Tiga,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20418,,Pidie,Tangse,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20419,,Pidie,Tiro/Truseb,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20420,,Pidie,Titeua/Keumala,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20423,,Pidie,Gleumpang Baro,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20424,,Pidie,Grong-Grong,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20425,,Pidie,Mane,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20426,,Pidie,Mutiara Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20500,,Aceh Tengah,Takengon,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ20502,,Aceh Tengah,Bebesen,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20503,,Aceh Tengah,Bintang,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20505,,Aceh Tengah,Linge Isak,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20506,,Aceh Tengah,Pegasing,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20507,,Aceh Tengah,Silih Nara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20509,,Aceh Tengah,Atu Lintang,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20510,,Aceh Tengah,Bies,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20511,,Aceh Tengah,Celala,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20512,,Aceh Tengah,Jagong Jeget,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20513,,Aceh Tengah,Kebayakan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20514,,Aceh Tengah,Ketol,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20515,,Aceh Tengah,Kute Panang,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20516,,Aceh Tengah,LautTawar,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20517,,Aceh Tengah,Rusip Antara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20600,,Aceh Selatan,Tapak Tuan,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ20601,,Aceh Selatan,Bakongan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20603,,Aceh Selatan,Kluet Utara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20605,,Aceh Selatan,Kluet Selatan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20606,,Aceh Selatan,Labuhan Haji,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20608,,Aceh Selatan,Meukek,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20610,,Aceh Selatan,Sama Dua,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20617,,Aceh Selatan,Trumon,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20619,,Aceh Selatan,Bakongan Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20620,,Aceh Selatan,Kluet Tengah,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20621,,Aceh Selatan,Kluet Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20622,,Aceh Selatan,Labuhan Haji Barat,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20623,,Aceh Selatan,Labuhan Haji Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20624,,Aceh Selatan,Pasie raja,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20625,,Aceh Selatan,Trumon Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20646,,Aceh Selatan,Sawang,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ20700,,Sabang,Sabang,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ20702,,Sabang,Sukakarya,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ20703,,Sabang,Sukajaya,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21000,,Aceh Barat Daya,Blangpidie,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21001,,Aceh Barat Daya,Babah Rot,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21002,,Aceh Barat Daya,kuala Batee,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21003,,Aceh Barat Daya,Manggeng,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21004,,Aceh Barat Daya,Susoh,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21005,,Aceh Barat Daya,Tangan Tangan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21100,,Aceh Jaya,Krueng Sabee/Calang,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21101,,Aceh Jaya,Jaya,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21102,,Aceh Jaya,Pangat,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21103,,Aceh Jaya,Sampo Niet,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21104,,Aceh Jaya,Setia Bakti,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21105,,Aceh Jaya,Teunom,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21200,,Aceh Singkil,Singkil,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21201,,Aceh Singkil,Danau Paris,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21202,,Aceh Singkil,Gunung Meriah,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21203,,Aceh Singkil,Baharu,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21204,,Aceh Singkil,Pulau Banyak,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21205,,Aceh Singkil,Simpang Kanan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21206,,Aceh Singkil,Singkil Utara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21207,,Aceh Singkil,Singkohor,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21208,,Aceh Singkil,Suro Baru,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21300,,Aceh Tamiang,Kuala Simpang,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21301,,Aceh Tamiang,Bendahara,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21302,,Aceh Tamiang,Karang Baru,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21303,,Aceh Tamiang,Kejuruan Muda,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21304,,Aceh Tamiang,Manyak Payed,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21305,,Aceh Tamiang,Rantau,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21306,,Aceh Tamiang,Seuruway,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21307,,Aceh Tamiang,Tamiang Hulu,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21400,,Aceh Timur,Idi Rayeuk,BTJ,48000,2 - 3,41000,3 - 6,-,11
BTJ21401,,Aceh Timur,Banda Alam,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21402,,Aceh Timur,Birem Bayeun,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21403,,Aceh Timur,Darul Aman,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21404,,Aceh Timur,Darul Iksan,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21405,,Aceh Timur,Idi Tuning,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21406,,Aceh Timur,Indra Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21407,,Aceh Timur,Julok,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21408,,Aceh Timur,Madat,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21409,,Aceh Timur,Nurussalam,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21410,,Aceh Timur,Pante Beudari,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21411,,Aceh Timur,Peudawa,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21412,,Aceh Timur,Peureulak,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21413,,Aceh Timur,Peureulak Barat,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21414,,Aceh Timur,Peureulak Timur,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21415,,Aceh Timur,Rantau Selamat,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21416,,Aceh Timur,Ranto Peureulak,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21417,,Aceh Timur,Serba Jadi/Lokop,BTJ,60000,3 - 6,52000,4 - 7,-,11
BTJ21418,,Aceh Timur,Simpang Jernih,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21419,,Aceh Timur,Simpang Ulim,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21420,,Aceh Timur,Sungai Raya,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21500,,Aceh Utara,Lhoksukon,BTJ,48000,2 - 3,41000,3 - 6,-,12
BTJ21501,,Aceh Utara,Baktia,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21502,,Aceh Utara,Baktia Barat,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21503,,Aceh Utara,Cot Girek,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21504,,Aceh Utara,Dewantara,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21505,,Aceh Utara,Kuta Makmur,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21506,,Aceh Utara,Langkahan,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21507,,Aceh Utara,Matang Kuli,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21508,,Aceh Utara,Meurah Mulia,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21509,,Aceh Utara,Muara Batu,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21510,,Aceh Utara,Nibong,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21511,,Aceh Utara,Nisam,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21512,,Aceh Utara,Paya Bakong,BTJ,60000,3 - 6,52000,4 - 7,-,12
BTJ21513,,Aceh Utara,Samudera,BTJ,60000,3 - 6,52000,4 - 7,-,12
