Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
AMI20803,,Lombok Barat,Kediri,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20804,,Lombok Barat,Labu Api,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20805,,Lombok Barat,Narmada,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20806,,Lombok Barat,Sekotong Tengah,AMI,66000,10~,-,-,-,1
AMI20807,,Lombok Barat,Tanjung,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20808,,Lombok Barat,Batu Layar,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20809,,Lombok Barat,Gunung Sari,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20810,,Lombok Barat,Kayangan,AMI,66000,10~,-,-,-,1
AMI20811,,Lombok Barat,Kuripan,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20812,,Lombok Barat,Lembar,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20813,,Lombok Barat,Lingsar,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20814,,Lombok Barat,Pemenang,AMI,66000,10~,-,-,-,1
AMI20900,,Sumbawa Barat,Taliwang,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20901,,Sumbawa Barat,Jereweh,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20902,,Sumbawa Barat,Seteluk,AMI,66000,10~,-,-,-,1
AMI20903,,Sumbawa Barat,Sekongkang,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20904,,Sumbawa Barat,Brang Rea,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21100,,Bima,Woha,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI21101,,Bima,Ambalawi,AMI,66000,10~,-,-,-,1
AMI21102,,Bima,Belo,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21103,,Bima,Bolo,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21104,,Bima,Donggo,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21105,,Bima,Lambu,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21106,,Bima,Langgudu,AMI,66000,10~,-,-,-,1
AMI21107,,Bima,Mada Pangga,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21108,,Bima,Monta,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI21109,,Bima,Sanggar,AMI,66000,10~,-,-,-,1
AMI21110,,Bima,Sape,AMI,44000,3 - 6,38000,4 - 7,-,2
AMI21111,,Bima,Tambora,AMI,66000,10~,-,-,-,2
AMI21112,,Bima,Wawo,AMI,44000,3 - 6,38000,4 - 7,-,2
AMI21113,,Bima,Wera,AMI,44000,3 - 6,38000,4 - 7,-,2
AMQ10000,,Ambon,Ambon,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ10005,,Ambon,Nusaniwe,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ10006,,Ambon,Sirimau,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ10007,,Ambon,Teluk Ambon Baguala,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ10008,,Ambon,Teluk Ambon,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ10009,,Ambon,Leitimur Selatan,AMQ,52000,2 - 3,45000,3 - 5,-,2
AMQ20100,,Maluku Tengah,Masohi,AMQ,85000,3 - 5,73000,5 - 7,-,2
AMQ20101,,Maluku Tengah,Banda,AMQ,161000,10~,-,-,-,2
AMQ20107,,Maluku Tengah,Leihitu,AMQ,161000,10~,-,-,-,2
AMQ20108,,Maluku Tengah,Pulau Haruku,AMQ,161000,10~,-,-,-,2
AMQ20110,,Maluku Tengah,Sala Hutu,AMQ,107000,5 - 7,92000,6 - 8,-,2
AMQ20113,,Maluku Tengah,Seram Utara,AMQ,161000,10~,-,-,-,2
AMQ20115,,Maluku Tengah,Tehoru,AMQ,161000,10~,-,-,-,2
AMQ20116,,Maluku Tengah,Teon Nila Serua,AMQ,161000,10~,-,-,-,2
AMQ20118,,Maluku Tengah,Amahai,AMQ,161000,10~,-,-,-,2
AMQ20119,,Maluku Tengah,Nusa Laut,AMQ,161000,10~,-,-,-,2
AMQ20121,,Maluku Tengah,Saparua,AMQ,161000,10~,-,-,-,2
AMQ20200,,Maluku Tenggara,Tual,AMQ,85000,3 - 5,73000,5 - 7,-,2
AMQ20201,,Maluku Tenggara,Kei Besar,AMQ,161000,10~,-,-,-,2
AMQ20208,,Maluku Tenggara,Kei Besar Selatan,AMQ,161000,10~,-,-,-,2
AMQ20209,,Maluku Tenggara,Kei Besar Utara Timur,AMQ,161000,10~,-,-,-,2
AMQ20210,,Maluku Tenggara,Kei Kecil,AMQ,161000,10~,-,-,-,2
AMQ20211,,Maluku Tenggara,Pulau-Pulau Kur,AMQ,161000,10~,-,-,-,2
AMQ20300,,Buru,Namlea,AMQ,85000,3 - 5,73000,5 - 7,-,2
AMQ20301,,Buru,Air Buaya / Buru Utara Barat,AMQ,161000,10~,-,-,-,2
AMQ20302,,Buru,Leksula / Buru Selatan,AMQ,161000,10~,-,-,-,2
AMQ20303,,Buru,Waesama,AMQ,161000,10~,-,-,-,2
AMQ20304,,Buru,Wayapo / Buru Utara Timur,AMQ,161000,10~,-,-,-,2
AMQ20400,,Kepulauan Aru,Dobo,AMQ,161000,10~,-,-,-,2
AMQ20401,,Kepulauan Aru,Pulau-Pulau Aru,AMQ,161000,10~,-,-,-,2
AMQ20402,,Kepulauan Aru,Pulau-Pulau Aru Selatan,AMQ,161000,10~,-,-,-,2
AMQ20403,,Kepulauan Aru,Pulau-Pulau Aru Tengah,AMQ,161000,10~,-,-,-,2
AMQ20600,,Seram Bagian Barat,Piru,AMQ,161000,10~,-,-,-,2
AMQ20601,,Seram Bagian Barat,Kairatu,AMQ,161000,10~,-,-,-,2
AMQ20602,,Seram Bagian Barat,Seram Barat,AMQ,161000,10~,-,-,-,2
AMQ20603,,Seram Bagian Barat,Taniwel,AMQ,161000,10~,-,-,-,2
AMQ20604,,Seram Bagian Barat,Waisala,AMQ,161000,10~,-,-,-,2
AMQ20700,,Seram Bagian Timur,Dataran Hunimoa,AMQ,161000,10~,-,-,-,2
AMQ20701,,Seram Bagian Timur,Bula,AMQ,161000,10~,-,-,-,2
AMQ20702,,Seram Bagian Timur,Pulau-Pulau Gorong,AMQ,161000,10~,-,-,-,2
AMQ20703,,Seram Bagian Timur,Seram Timur,AMQ,161000,10~,-,-,-,2
AMQ20704,,Seram Bagian Timur,Werinama,AMQ,161000,10~,-,-,-,2
AMQ20800,,Maluku Tenggara Barat,Saumlaki,AMQ,85000,3 - 5,73000,5 - 7,-,2
AMQ20801,,Maluku Tenggara Barat,Damer,AMQ,161000,10~,-,-,-,2
AMQ20802,,Maluku Tenggara Barat,Kormomolin,AMQ,161000,10~,-,-,-,2
AMQ20803,,Maluku Tenggara Barat,Luser,AMQ,161000,10~,-,-,-,2
AMQ20804,,Maluku Tenggara Barat,Mola,AMQ,161000,10~,-,-,-,2
AMQ20805,,Maluku Tenggara Barat,Nirunmas,AMQ,161000,10~,-,-,-,2
AMQ20806,,Maluku Tenggara Barat,Pulau-Pulau Babar,AMQ,161000,10~,-,-,-,2
AMQ20807,,Maluku Tenggara Barat,Pulau-Pulau Babar Timur,AMQ,161000,10~,-,-,-,2
AMQ20808,,Maluku Tenggara Barat,Pulau-Pulau Letimoa Lakor,AMQ,161000,10~,-,-,-,2
AMQ20809,,Maluku Tenggara Barat,Pulau-Pulau Terselatan,AMQ,161000,10~,-,-,-,2
AMQ20810,,Maluku Tenggara Barat,Pulau-Pulau Wetar,AMQ,161000,10~,-,-,-,2
AMQ20811,,Maluku Tenggara Barat,Selaru,AMQ,161000,10~,-,-,-,2
AMQ20812,,Maluku Tenggara Barat,Tanimbar Selatan,AMQ,161000,10~,-,-,-,2
AMQ20813,,Maluku Tenggara Barat,Tanimbar Utara,AMQ,161000,10~,-,-,-,2
AMQ20814,,Maluku Tenggara Barat,Wer Makatian,AMQ,161000,10~,-,-,-,2
AMQ20815,,Maluku Tenggara Barat,Wertamrian,AMQ,161000,10~,-,-,-,2
AMQ20816,,Maluku Tenggara Barat,Wuarlabobar,AMQ,161000,10~,-,-,-,2
AMQ20817,,Maluku Tenggara Barat,Yaru,AMQ,161000,10~,-,-,-,2
AMQ20818,,Maluku Tenggara Barat,Serwaru,AMQ,161000,10~,-,-,-,2
BDJ10000,,Banjarmasin,Banjarmasin,BDJ,30000,1 - 2,26000,3 - 5,38000,2
BDJ10001,,Banjarmasin,Banjarmasin Barat,BDJ,30000,1 - 2,26000,3 - 5,38000,2
BDJ10002,,Banjarmasin,Banjarmasin Selatan,BDJ,30000,1 - 2,26000,3 - 5,38000,2
BDJ10003,,Banjarmasin,Banjarmasin Tengah,BDJ,30000,1 - 2,26000,3 - 5,38000,2
BDJ10004,,Banjarmasin,Banjarmasin Timur,BDJ,30000,1 - 2,26000,3 - 5,38000,2
